nhic_code,MRID
90000000009188,340502-0101-0901
90000000011529,680601-0230-6201
90000000035245,680404-0622-2716
90000000003584,801102-0101-5406
90000000006599,460101-0122-2706
90000000030583,482101-0104-4801
90000000022413,801802-0430-2701
90000000033838,170801-0301-2713
90000000007656,780301-0130-6201
90000000025066,190707-0122-6401
90000000018431,801201-0101-5406
90000000009412,380103-0129-0901
90000000011869,640202-0201-2713
90000000005346,110404-0222-6401
90000000025947,020404-0222-6404
90000000003920,800603-0130-5406
90000000000447,120601-0101-2713
90000000008877,801802-0430-2701
90000000004734,910101-0101-5406
90000000011949,800606-0130-6003
90000000004763,410913-0141-6401
90000000011776,830301-0101-4804
90000000027549,120504-0204-2301
90000000012135,800601-0102-5406
90000000004244,650503-0130-2713
90000000007720,120207-0104-6201
90000000034514,531101-0141-2713
90000000002347,410802-0122-6404
90000000022484,340103-0101-4001
90000000005689,120501-0201-2713
90000000017268,410106-0109-2710
90000000005727,640206-0401-2713
90000000016153,120206-0130-6201
90000000006730,190704-0231-5401
90000000004814,190708-0130-2713
90000000009223,830207-0107-5401
90000000025649,481112-0101-5406
90000000010632,430102-0130-5601
90000000004042,520205-9999-5401
90000000004657,120601-0101-2713
90000000032643,800403-0101-5406
90000000000473,570119-0122-6404
90000000002510,330103-0104-4801
90000000032646,801007-0122-5406
90000000000854,170804-0130-3501
90000000010184,270109-0122-0401
90000000001735,801601-0101-5406
90000000009332,690503-0130-3501
90000000003609,670602-0222-6401
90000000004196,380304-0201-4001
90000000013141,150601-0130-2713
90000000013580,270109-0122-0401
90000000010581,440103-0130-2713
90000000013631,370101-0101-0601
90000000000027,310201-0130-6003
90000000032505,780213-0122-6401
90000000033226,801204-0101-6003
90000000011132,660301-0130-2713
90000000004686,660502-0130-6001
90000000010376,190501-0146-2713
90000000011789,120209-0130-2713
90000000000213,800603-0130-5406
90000000008848,200501-0122-6401
90000000006416,040203-0230-5401
90000000015477,651201-0101-5406
90000000011430,680701-0130-2713
90000000032031,060101-0122-6404
90000000033784,170415-0130-2714
90000000012910,370101-0101-0601
90000000014865,480201-0330-4804
90000000007560,410108-0109-2706
90000000013618,370102-0101-0601
90000000004462,830304-0101-4804
90000000024941,030202-0230-6201
90000000005862,580203-0201-5406
90000000008018,640206-0401-2713
90000000000444,120601-0401-2713
90000000011975,800605-0130-5406
90000000010565,801703-0117-6003
90000000006897,330107-0101-4001
90000000032342,110404-0122-6401
90000000013522,411101-0128-6301
90000000011962,800102-0101-5406
90000000000748,670601-0130-2713
90000000013317,330103-0201-4001
90000000030375,801201-0101-4001
90000000005090,500104-0322-4801
90000000008592,560303-0246-2713
90000000030903,711102-0122-6401
90000000003350,531901-9999-0401
90000000009021,410106-0109-2710
90000000004029,430801-0130-2713
90000000032566,780506-0130-5401
90000000032400,110504-9999-3501
90000000012683,170301-0101-5401
90000000006714,410910-0241-6401
90000000006586,530601-0134-2713
90000000021343,760607-0141-4801
90000000002116,800607-0130-5406
90000000024249,060404-0104-2303
90000000020398,410801-0122-6404
90000000007967,640209-0101-0901
90000000026024,040203-0130-2713
90000000009582,640102-0146-2713
90000000009989,140502-0122-2713
90000000032047,060301-0104-5901
90000000017633,010203-0101-5406
90000000025210,340306-0101-3601
90000000031964,020105-0222-6001
90000000035072,140602-0230-2713
90000000002917,480201-0530-4804
90000000007964,340301-0101-5401
90000000021346,760607-0241-4801
90000000012737,370201-0101-5401
90000000030416,170303-0201-2713
90000000005439,240602-0130-2713
90000000000364,600701-0130-2713
90000000015791,380101-0201-5406
90000000035046,830216-0130-2713
90000000007589,690701-0122-6401
90000000006429,040203-0130-2713
90000000006903,330107-0101-4001
90000000033034,770302-9999-3501
90000000001687,520301-0101-2713
90000000002293,170303-0201-2713
90000000032999,070501-9999-4801
90000000024563,070901-0104-2301
90000000008752,681401-0130-3501
90000000011010,800302-0101-5406
90000000010526,170303-0201-2713
90000000007935,481503-0230-4804
90000000001450,140502-0322-2713
90000000034082,540405-0130-2713
90000000031736,780305-0122-6401
90000000000588,690603-0128-4301
90000000034287,140601-0130-5402
90000000010453,200301-0130-3501
90000000006269,600103-0130-2713
90000000008002,640207-0101-2713
90000000011177,690202-0122-6404
90000000005753,170209-0101-2713
90000000006717,190706-0230-2713
90000000005602,440106-0230-6201
90000000031884,020102-0422-6402
90000000010568,340901-0117-4001
90000000007858,510211-0122-6401
90000000002280,170413-1401-2713
90000000007900,090102-0199-0401
90000000010155,030201-0130-6001
90000000006746,530401-0134-2715
90000000033101,130202-0130-6201
90000000033569,860102-0534-2713
90000000031749,310202-0222-6401
90000000030269,800405-0201-5406
90000000009973,140502-0422-2713
90000000010440,800902-0101-5406
90000000031855,020102-0130-3501
90000000013154,780208-0130-6201
90000000030785,480303-0130-6001
90000000010783,510204-0122-6401
90000000010129,800104-0101-5406
90000000032983,420102-0122-6409
90000000002267,170413-1601-2713
90000000001277,650403-0222-6409
90000000009976,140502-0222-2713
90000000008249,550403-0522-2707
90000000003680,740406-0201-4001
90000000002033,510219-0122-6401
90000000003212,140701-0122-6401
90000000008464,070701-0130-6001
90000000004532,170413-0501-2713
90000000027110,260602-0422-6401
90000000012532,480102-0122-2706
90000000025675,810201-0122-5406
90000000035520,060409-0130-1701
90000000002113,800607-0130-5406
90000000008291,130110-0130-2713
90000000013596,150307-0309-2706
90000000007502,770106-0130-2713
90000000008768,681401-0122-6401
90000000033294,490303-0130-6001
90000000002373,780203-0130-3501
90000000005372,730202-0101-5201
90000000002007,510216-0122-6401
90000000009864,160203-0209-2713
90000000004721,170404-0119-2701
90000000009374,801402-0101-5406
90000000007704,660201-0230-6001
90000000013032,801015-0101-5406
90000000031054,070104-0109-0901
90000000009066,190901-0130-2713
90000000007682,801002-0201-5406
90000000003907,800603-0230-5406
90000000008925,150503-0104-4801
90000000004109,531502-0109-2707
90000000005426,240602-0330-3501
90000000005711,170404-0137-2713
90000000004449,710802-0130-2713
90000000003366,660701-0222-4801
90000000005170,340306-0101-4001
90000000032073,230703-0101-4001
90000000003446,140206-0109-4801
90000000024630,070901-0322-6404
90000000007887,100502-0130-2713
90000000011667,480702-0130-6001
90000000002158,140105-0130-2713
90000000009034,410106-0209-2706
90000000002222,680106-0230-3501
90000000030240,140701-0322-6401
90000000011174,690202-0222-6404
90000000001818,280103-0130-5401
90000000008329,660106-0122-6402
90000000022038,100409-0322-6401
90000000007214,801503-0101-6003
90000000012670,801707-0101-5406
90000000033050,290101-9999-3601
90000000021798,870203-0137-2713
90000000010360,190501-0130-2713
90000000031083,482301-0122-6401
90000000013077,510301-0230-6001
90000000026175,650404-0122-6409
90000000008646,190103-0222-4801
90000000003132,510111-0130-6001
90000000007108,380106-0201-5401
90000000017079,680104-0122-6401
90000000009649,640402-0130-2713
90000000018841,170303-0101-2713
90000000030974,720102-0101-6001
90000000032925,340301-0101-0901
90000000007041,340306-0101-0901
90000000012042,541301-0109-4801
90000000001248,110806-9999-5401
90000000024358,531003-0134-2713
90000000035197,650201-0722-2713
90000000004084,470301-0141-2713
90000000012491,800501-0130-5406
90000000000934,910101-0201-5406
90000000032480,760801-0222-6402
90000000002498,210401-0122-4801
90000000009486,481302-0104-2713
90000000002565,541801-0130-2714
90000000004590,120601-0130-5601
90000000012196,670301-0222-6401
90000000033361,660701-0330-5401
90000000031121,160502-0130-5406
90000000010834,600501-0122-4801
90000000008765,681401-0222-0401
90000000006759,530203-0134-2713
90000000025223,760801-0122-2301
90000000030788,480301-0130-4804
90000000009569,640102-0245-4301
90000000032890,320202-0141-0601
90000000023272,280207-0101-0901
90000000002661,800901-0101-5406
90000000032986,110101-0146-3501
90000000013385,760801-0122-6402
90000000005878,160405-0130-2713
90000000013292,680802-0222-4801
90000000032912,340301-0101-4001
90000000008195,670404-0122-6401
90000000004683,170801-0201-2713
90000000011715,541801-0130-2714
90000000035780,100905-0152-2713
90000000005535,030202-0130-2713
90000000017553,481201-0130-2713
90000000003161,860102-9999-2713
90000000030586,860102-9999-2713
90000000007054,340306-0201-5603
90000000006743,190702-0130-5401
90000000030977,481901-0230-6001
90000000003702,800609-0130-5406
90000000012590,280101-0101-5401
90000000034322,040202-0122-0401
90000000026396,020407-0122-6404
90000000012705,330101-0230-2713
90000000012138,290402-0101-4001
90000000018585,801007-0122-5406
90000000023474,660106-0222-6401
90000000016156,790103-0130-6001
90000000001780,410105-0109-2701
90000000009146,510304-0122-4801
90000000005359,700403-0122-6401
90000000030759,480101-0230-4804
90000000010315,830204-0130-2713
90000000009441,542003-0222-2706
90000000005234,710702-0122-6401
90000000032015,700201-0222-6401
90000000017838,150305-0209-5401
90000000005061,680405-0130-5401
90000000025527,540714-0130-2713
90000000009604,020501-0230-2713
90000000012792,130103-0122-4801
90000000002783,570401-0122-2701
90000000033390,690401-0230-2713
90000000006608,210302-0130-2713
90000000012997,800201-0122-4801
90000000030391,330101-0130-2713
90000000004670,120601-0801-2713
90000000008044,730101-0101-3601
90000000017784,150305-0209-5401
90000000001421,060404-0130-3501
90000000000963,710603-0122-4801
90000000011696,130202-0122-6418
90000000026992,020702-0122-0401
90000000030429,170303-0401-2713
90000000001549,780207-0230-5406
90000000032630,800404-0101-5406
90000000030826,280207-0101-5201
90000000010523,170303-0401-2713
90000000029744,420407-0222-6404
90000000003667,740406-0201-4001
90000000013186,140204-0109-4801
90000000020273,480303-0122-6401
90000000006131,470203-0241-0401
90000000012084,800604-0130-5406
90000000032617,800603-0230-5406
90000000003094,620105-0230-2713
90000000026136,660203-0130-6001
90000000003760,651401-0122-0401
90000000007201,801503-0101-4001
90000000012699,210201-0122-6401
90000000030525,060405-0201-2713
90000000016890,480810-0422-2713
90000000010985,801101-0201-5406
90000000008874,180401-0115-4801
90000000010036,170307-0101-2713
90000000002456,690202-0322-6401
90000000011283,481201-0130-2713
90000000035181,650201-0522-2713
90000000034380,541501-0130-2713
90000000002171,520202-0109-2701
90000000032688,801701-0101-5406
90000000031640,890101-0230-6001
90000000022746,542404-0122-2701
90000000033918,480807-0104-2706
90000000001536,780207-0230-5406
90000000009662,660401-0130-3501
90000000003334,660701-0130-3501
90000000003962,111101-0130-2713
90000000005208,760901-0130-5401
90000000003023,230103-0101-5406
90000000015028,680401-0322-6401
90000000024781,543201-0530-2713
90000000001767,510801-0130-2713
90000000004561,120601-0601-4001
90000000008409,170601-9999-2713
90000000006458,440104-0122-2706
90000000031445,700701-0128-4301
90000000025226,760801-0222-6402
90000000032076,230703-0122-5901
90000000035123,170601-9999-2713
90000000011555,480604-0230-2305
90000000001876,170307-0101-2713
90000000004478,170415-0130-2714
90000000035194,650201-0622-2713
90000000035751,540419-0122-6401
90000000028539,830303-0104-4804
90000000003558,802201-0146-5406
90000000007842,510211-0130-3501
90000000020830,640102-0145-4301
90000000009114,481801-0230-2713
90000000010347,190501-0122-4801
90000000024592,070901-0304-4801
90000000000191,800603-0230-5406
90000000030948,710501-0122-6401
90000000009755,410302-0143-4301
90000000033800,120301-0146-2713
90000000004353,531401-9999-2701
90000000013798,010101-0122-6401
90000000014894,480201-0130-4804
90000000005673,230702-9999-5901
90000000032797,730201-0201-0901
90000000005984,660601-0230-3501
90000000011299,480302-0130-6001
90000000010238,530401-0134-2715
