NUPCO Code,MRID
51201504001,570502-0222-0401
51201504006,570502-0130-2713
51201504011,570502-0122-0407
51201504002,570502-0122-0401
51201502003,570501-0330-5401
51201502001,570501-0322-0401
51201502004,570501-0230-2714
51201502005,570501-0222-0401
51201502002,570501-0122-0401
51201502000,570501-0101-1601
51201811000,570406-0222-6401
51201811002,570406-0122-6401
51111599000,570405-0422-0401
51201560000,570404-0222-0401
51201560002,570404-0122-6401
51201549001,570403-0622-0401
51201899001,570403-0322-0401
51201899000,570403-0222-0401
51241243001,570402-0222-0401
51241243000,570402-0122-0401
51201501000,570401-0122-6401
51201501003,570401-0122-2701
51111799001,570310-0230-2713
51111799002,570310-0230-2713
51111799005,570310-0130-5401
51201598004,570309-0230-2713
51201598001,570309-0222-2701
51201598002,570309-0130-2714
51201598000,570309-0122-2701
51111799003,570307-0130-2713
51111717012,570306-0122-2713
51201598015,570305-0130-2713
51182428005,570304-0130-2713
51111713004,570303-0130-2713
51201508000,570302-0122-2706
51201523000,570301-0130-2713
51111720001,570205-0122-2706
51142199001,570203-0222-2701
51142199000,570203-0122-2713
51111713005,570202-0122-2713
51142145000,570201-0130-2713
51142145001,570201-0130-2713
51111717008,570122-0222-2706
51112009007,570121-0122-6410
51201567000,570120-0122-6410
51201515004,570119-0141-6401
51201515001,570119-0122-6404
51201598008,570116-0130-2714
51201599000,570115-0130-5402
51201503003,570114-0322-6401
51201503004,570114-0322-6401
51201503001,570114-0222-6410
51201503006,570114-0222-2701
51201503002,570114-0122-0401
51201549000,570112-0222-6410
51201549002,570112-0122-6410
51201542000,570111-0122-0401
51201541001,570110-0222-6401
51201541000,570110-0122-6401
51201538000,570108-0130-2713
51111713003,570107-0322-2706
51111713010,570107-0122-2706
51111825013,570105-0222-6410
51111825011,570105-0122-6410
51111713009,570104-0122-6410
51201806014,570103-0130-2713
51111713001,570102-0130-2713
51201599001,570101-0222-4803
51201599003,570101-0122-2713
51201809008,560308-0241-2713
51201513002,560306-0246-2713
51201513003,560306-0146-2713
51201809007,560304-0146-2713
51201809002,560304-0109-2713
51201809001,560303-0246-2713
51201809006,560303-0246-2713
51201809003,560303-0146-2713
51201809004,560303-0109-2713
51201803000,560203-0130-2713
51201802001,560201-0346-2713
51201802004,560201-0246-2713
51201802003,560201-0146-2713
51201899002,560105-0130-2713
51343500003,560101-0234-2701
51201647002,560101-0134-2713
51111566000,550502-0222-6401
51111566001,550502-0122-6401
51351609000,550501-0130-2713
51111815002,550404-0422-2707
51111815000,550404-0222-2713
51111815001,550404-0122-2706
51111807000,550403-0522-2707
51111807003,550403-0422-2713
51111807001,550403-0422-2713
51111807002,550403-0222-2701
51111805002,550402-0222-2501
51111805001,550402-0122-2501
51181917000,550401-0130-2713
51182027000,550304-0122-6401
51192099000,550303-0122-0401
51111802000,550302-0222-6401
51111802001,550302-0122-6401
51111820001,550204-0122-6410
51111824000,550203-0122-6401
51111842000,550102-0222-2706
51111842001,550102-0122-2706
51111830001,550101-0222-6410
51111830000,550101-0122-6401
51111772003,543903-0222-0401
51111772000,543903-0130-2713
51111772002,543903-0130-2713
51111772001,543903-0122-0401
51111766000,543903-0122-0401
51111709002,543902-0230-2701
51111709001,543902-0130-2713
51111765000,543801-0122-2706
51111516001,543701-0222-2713
51111516000,543701-0122-2706
51112009008,543501-0522-6401
51112009005,543501-0322-6401
51112009003,543501-0222-6401
51112009004,543501-0122-6401
51111520000,543401-0122-0401
51111698000,543202-0122-2706
51111610001,543201-0530-2713
51111610004,543201-0530-2713
51111610008,543201-0530-2713
51111610011,543201-0530-2713
51111610012,543201-0330-2713
51111610010,543201-0330-2713
51111610005,543201-0230-2713
51111610006,543201-0230-2713
51111610007,543201-0222-6401
51111610003,543201-0222-6401
51111610000,543201-0122-6401
51112201000,543101-0122-6410
51111800000,543001-0322-0401
51111659000,542802-0122-2706
51111642000,542801-0130-2713
51202001000,542702-0122-2713
51201541002,542701-0322-6401
51201541006,542701-0222-6401
51201541005,542701-0122-6401
51111739001,542601-0130-2714
51281809000,542405-0130-2714
51281801001,542404-0122-2701
51281803000,542403-0130-2713
51281803001,542403-0130-2713
51281803002,542403-0130-2713
51111711000,542402-0130-2714
51111711002,542402-0130-2714
51111711001,542402-0130-2714
51111711004,542402-0122-2701
51111703000,542401-0122-2701
51111702000,542301-0141-4801
51111519003,542202-0622-0401
51111519000,542202-0322-0401
51111519001,542202-0222-0401
51111508000,542201-0222-2706
51111508001,542201-0122-2706
51112021001,542103-0122-6410
51111561000,542006-0122-6401
51111646000,542005-0130-2713
51111609001,542004-0130-6001
51111609000,542004-0122-6401
51111604000,542003-0222-2706
51111604001,542003-0122-6410
51111629000,542002-0130-2713
51201527000,542001-0130-2713
51201527001,542001-0122-6401
51111504000,541901-0122-4803
51111822001,541803-0322-2714
51111822000,541803-0130-2714
51111822002,541803-0130-2706
51111506002,541802-0230-2714
51111506001,541802-0130-2713
51111506000,541802-0130-2713
51111503000,541801-0130-2714
51111503001,541801-0130-2714
51112010001,541714-0222-6410
51112010000,541714-0122-6410
51111897001,541713-0322-0401
51112009002,541713-0222-0401
51112009006,541713-0122-0401
51112202000,541712-0122-6410
51111825005,541710-0122-6410
51112006000,541708-0222-6410
51112006001,541708-0122-6410
51111825012,541707-0222-0401
51111899006,541707-0122-0401
51115004001,541706-0222-0401
51115004002,541706-0122-0401
51112000002,541705-0122-0401
51112012002,541704-0222-0401
51112012001,541704-0122-0401
51111904000,541603-0230-2714
51111904001,541603-0230-2714
51111904003,541603-0230-2714
51111904004,541603-0230-2713
51111904002,541603-0230-2713
51111902002,541602-0230-2713
51111902003,541602-0230-2713
51111728000,541601-0130-2713
51111502000,541501-0130-2713
51111502001,541501-0122-6401
51111899002,541403-0222-6401
51111899001,541403-0122-0401
51111898001,541402-0322-6410
51111898002,541402-0122-6401
51112019000,541401-0222-6410
51112019001,541401-0122-6410
51111704002,541302-0222-4801
51111704004,541302-0122-4801
51111733000,541301-0109-4801
50501701003,541106-0130-2706
50501701002,541106-0122-6410
51111509002,541105-0204-2706
51112510003,541105-0122-2706
51111509000,541105-0104-2706
51111507003,541104-0422-2701
51111507000,541104-0322-2706
51111507001,541104-0222-2706
51111507004,541104-0122-6410
51111505000,541102-0122-6401
51111530000,541101-0130-2713
51111530001,541101-0122-2706
51442007001,541007-0222-6410
51102317001,541007-0122-6410
51111617000,541006-0130-2713
51111617001,541006-0130-2713
51111605000,541005-0130-2713
51111605005,541005-0130-2713
51111605002,541005-0130-2713
51111605001,541005-0130-2713
51111602003,541003-0330-2713
51111602002,541003-0230-2713
51111602000,541003-0130-2713
51112001000,541002-0222-6410
51112001001,541002-0122-6410
51112101000,541001-0122-2706
51111825004,540901-0222-6410
51111717004,540724-0222-2706
51111717003,540724-0122-2706
51111717002,540723-0222-2706
51111717007,540723-0130-2706
51111717001,540723-0122-2706
51111716002,540722-0230-2714
51111716001,540722-0130-2714
51111716000,540722-0130-2714
51201598009,540721-0130-2713
51201598010,540721-0130-2713
51111799000,540720-0130-2713
51111713008,540719-0130-2714
51111758001,540718-0130-2713
51201598005,540715-0130-2714
51111717005,540714-0130-2713
51111717006,540714-0130-2713
51111746000,540713-0130-2713
51111713013,540709-0130-2701
51111713012,540709-0130-2701
51202419000,540708-0130-2713
51111713006,540706-0130-5402
51111713011,540706-0130-5402
51111750001,540705-0130-2713
51111798000,540704-0122-2706
51111752003,540703-0146-2706
51111752001,540702-0130-2713
51111752000,540702-0130-2713
51201598006,540701-0130-2714
51111896002,540504-0222-0401
51111896003,540504-0122-0401
51111825007,540503-0122-0401
51111825006,540501-0122-0401
51112021000,540420-0122-0401
51111716004,540419-0422-6410
51111716005,540419-0122-6401
51111906000,540418-0115-2713
51111752002,540417-0122-0401
51111606001,540413-0222-0401
51111606000,540413-0122-0401
51141818000,540413-0122-0401
51111742000,540412-0130-2713
51111901000,540411-0109-4801
51142131000,540410-0122-0401
51201599002,540409-0122-2706
51111101000,540408-0222-2706
51111729000,540405-0130-2713
51131715000,540404-0141-0401
51241199001,540401-0130-2713
51111899007,540305-0122-6410
51111825009,540303-0322-6410
51111825001,540303-0222-6410
51111825000,540303-0122-6410
51112012000,540301-0222-6410
51111896001,540202-0122-0401
51351609006,540103-0122-6410
51351609001,540102-0322-0401
51351609003,540102-0222-6410
51351609005,540102-0122-6410
51201615001,531302-0130-2713
51201649001,531201-0241-2713
51201610000,531101-0141-2713
51201628002,531003-0134-2713
51201628001,531003-0134-2713
51201650000,530801-0146-2713
51201621001,530402-0209-2701
51202101008,530304-0134-2707
51201806005,520301-0130-2713
51201806004,520301-0130-2713
51201806002,520301-0101-2713
51201806003,520301-0101-2713
51201806001,520301-0101-2713
51111751000,520105-0130-2713
51332003006,520105-0130-2713
51332003000,520105-0130-2713
51332003001,520105-0130-2713
51201805002,520101-0146-2713
51101818000,511001-0222-6401
51102338000,510901-0122-0401
